AirportID,Name,City,Country,FAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz
70,"Hamilton","Hamilton","Canada","YHM","CYHM",43.173611,-79.935,780,-5,"A","America/Toronto"
71,"St Hubert","Montreal","Canada","YHU","CYHU",45.5175,-73.416944,90,-5,"A","America/Toronto"
72,"Hay River","Hay River","Canada","YHY","CYHY",60.839722,-115.782778,543,-7,"A","America/Edmonton"
73,"Halifax Intl","Halifax","Canada","YHZ","CYHZ",44.880833,-63.50861,477,-4,"A","America/Halifax"
74,"Atikokan Muni","Atikokan","Canada","YIB","CYIB",48.773888,-91.638611,1408,-5,"A","America/Coral_Harbour"
75,"Pond Inlet","Pond Inlet","Canada","YIO","CYIO",72.683334,-77.966667,181,-5,"A","America/Toronto"
76,"St Jean","St. Jean","Canada","YJN","CYJN",45.294445,-73.281111,136,-5,"A","America/Toronto"
77,"Stephenville","Stephenville","Canada","YJT","CYJT",48.544167,-58.549999,80,-3.5,"A","America/St_Johns"
78,"Kamloops","Kamloops","Canada","YKA","CYKA",50.702222,-120.444444,1133,-8,"A","America/Vancouver"
79,"Waterloo","Waterloo","Canada","YKF","CYKF",43.460833,-80.378611,1054,-5,"A","America/Toronto"
80,"Schefferville","Schefferville","Canada","YKL","CYKL",54.805278,-66.805278,1709,-5,"A","America/Toronto"
81,"Kindersley","Kindersley","Canada","YKY","CYKY",51.5175,-109.180833,2277,-6,"N","America/Regina"
82,"Buttonville Muni","Toronto","Canada","YKZ","CYKZ",43.862221,-79.37,650,-5,"A","America/Toronto"
83,"Chapleau","Chapleau","Canada","YLD","CYLD",47.82,-83.346667,1470,-5,"A","America/Toronto"
84,"Meadow Lake","Meadow Lake","Canada","YLJ","CYLJ",54.125278,-108.522778,1576,-6,"N","America/Regina"
85,"Lloydminster","Lloydminster","Canada","YLL","CYLL",53.309166,-110.0725,2193,-7,"A","America/Edmonton"
86,"Alert","Alert","Canada","YLT","CYLT",82.517778,-62.280556,100,-5,"A","America/Toronto"
87,"Kelowna","Kelowna","Canada","YLW","CYLW",49.956112,-119.377778,1409,-8,"A","America/Vancouver"
88,"Mayo","Mayo","Canada","YMA","CYMA",63.616389,-135.868333,1653,-8,"A","America/Vancouver"
89,"Moose Jaw Air Vice Marshal C M Mcewen","Moose Jaw","Canada","YMJ","CYMJ",50.330278,-105.559167,1892,-6,"N","America/Regina"
90,"Fort Mcmurray","Fort Mcmurray","Canada","YMM","CYMM",56.653333,-111.221944,1211,-7,"A","America/Edmonton"
91,"Moosonee","Moosonee","Canada","YMO","CYMO",51.291111,-80.607778,30,-5,"A","America/Toronto"
92,"Maniwaki","Maniwaki","Canada","YMW","CYMW",46.272778,-75.990556,656,-5,"A","America/Toronto"
93,"Montreal Intl Mirabel","Montreal","Canada","YMX","CYMX",45.681944,-74.005278,270,-5,"A","America/Toronto"
94,"Natashquan","Natashquan","Canada","YNA","CYNA",50.19,-61.789167,39,-5,"A","America/Toronto"
95,"Gatineau","Gatineau","Canada","YND","CYND",45.521694,-75.563589,211,-5,"A","America/Toronto"
96,"Matagami","Matagami","Canada","YNM","CYNM",49.761667,-77.802778,918,-5,"A","America/Toronto"
97,"Old Crow","Old Crow","Canada","YOC","CYOC",67.570556,-139.839167,824,-8,"A","America/Vancouver"
98,"Cold Lake","Cold Lake","Canada","YOD","CYOD",54.404999,-110.279444,1775,-7,"A","America/Edmonton"
99,"High Level","High Level","Canada","YOJ","CYOJ",58.621389,-117.164722,1110,-7,"A","America/Edmonton"
100,"Ottawa Macdonald Cartier Intl","Ottawa","Canada","YOW","CYOW",45.3225,-75.669167,374,-5,"A","America/Toronto"
101,"Prince Albert Glass Field","Prince Albert","Canada","YPA","CYPA",53.214167,-105.672778,1405,-6,"N","America/Regina"
102,"Peace River","Peace River","Canada","YPE","CYPE",56.226944,-117.447222,1873,-7,"A","America/Edmonton"
103,"Southport","Portage-la-prairie","Canada","YPG","CYPG",49.903056,-98.273889,885,-6,"A","America/Winnipeg"
104,"Pitt Meadows","Pitt Meadows","Canada","","CYPK",49.21611,-122.71,11,-8,"A","America/Vancouver"
105,"Pickle Lake","Pickle Lake","Canada","YPL","CYPL",51.446388,-90.214167,1267,-5,"A","America/Coral_Harbour"
106,"Port Menier","Port Menier","Canada","YPN","CYPN",49.836389,-64.288611,167,-5,"A","America/Toronto"
107,"Peterborough","Peterborough","Canada","YPQ","CYPQ",44.23,-78.363333,628,-5,"A","America/Toronto"
108,"Prince Rupert","Prince Pupert","Canada","YPR","CYPR",54.28611,-130.444722,116,-8,"A","America/Vancouver"
109,"Fort Chipewyan","Fort Chipewyan","Canada","YPY","CYPY",58.767223,-111.117222,761,-7,"A","America/Edmonton"
110,"Muskoka","Muskoka","Canada","YQA","CYQA",44.974722,-79.303333,925,-5,"A","America/Toronto"
111,"Quebec Jean Lesage Intl","Quebec","Canada","YQB","CYQB",46.791111,-71.393333,244,-5,"A","America/Toronto"
112,"Red Deer Regional","Red Deer Industrial","Canada","YQF","CYQF",52.182222,-113.894444,2968,-7,"A","America/Edmonton"
113,"Windsor","Windsor","Canada","YQG","CYQG",42.275556,-82.955556,622,-5,"A","America/Toronto"
114,"Watson Lake","Watson Lake","Canada","YQH","CYQH",60.116389,-128.8225,2255,-8,"A","America/Vancouver"
115,"Kenora","Kenora","Canada","YQK","CYQK",49.788334,-94.363056,1332,-6,"A","America/Winnipeg"
116,"Lethbridge","Lethbridge","Canada","YQL","CYQL",49.630278,-112.799722,3047,-7,"A","America/Edmonton"
117,"Greater Moncton Intl","Moncton","Canada","YQM","CYQM",46.112221,-64.678611,232,-4,"A","America/Halifax"
119,"Comox","Comox","Canada","YQQ","CYQQ",49.710833,-124.886667,84,-8,"A","America/Vancouver"
120,"Regina Intl","Regina","Canada","YQR","CYQR",50.431944,-104.665833,1894,-6,"N","America/Regina"
121,"Thunder Bay","Thunder Bay","Canada","YQT","CYQT",48.371944,-89.323889,653,-5,"A","America/Toronto"
122,"Grande Prairie","Grande Prairie","Canada","YQU","CYQU",55.179722,-118.885,2195,-7,"A","America/Edmonton"
123,"Yorkton Muni","Yorkton","Canada","YQV","CYQV",51.264721,-102.461667,1635,-6,"N","America/Regina"
124,"North Battleford","North Battleford","Canada","YQW","CYQW",52.769167,-108.24361,1799,-6,"N","America/Regina"
125,"Gander Intl","Gander","Canada","YQX","CYQX",48.936944,-54.568056,496,-3.5,"A","America/St_Johns"
126,"Sydney","Sydney","Canada","YQY","CYQY",46.161388,-60.047779,203,-4,"A","America/Halifax"
127,"Quesnel","Quesnel","Canada","YQZ","CYQZ",53.026112,-122.510278,1789,-8,"A","America/Vancouver"
128,"Resolute Bay","Resolute","Canada","YRB","CYRB",74.716944,-94.969444,215,-6,"A","America/Winnipeg"
129,"Riviere Du Loup","Riviere Du Loup","Canada","YRI","CYRI",47.764444,-69.584722,427,-5,"A","America/Toronto"
130,"Roberval","Roberval","Canada","YRJ","CYRJ",48.52,-72.265556,586,-5,"A","America/Toronto"
131,"Rocky Mountain House","Rocky Mountain House","Canada","YRM","CYRM",52.429722,-114.904167,3244,-7,"A","America/Edmonton"
132,"Rankin Inlet","Rankin Inlet","Canada","YRT","CYRT",62.81139,-92.115833,94,-6,"A","America/Winnipeg"
133,"Sudbury","Sudbury","Canada","YSB","CYSB",46.625,-80.798889,1141,-5,"A","America/Toronto"
134,"Sherbrooke","Sherbrooke","Canada","YSC","CYSC",45.438611,-71.691389,792,-5,"A","America/Toronto"
135,"Saint John","St. John","Canada","YSJ","CYSJ",45.316111,-65.890278,357,-4,"A","America/Halifax"
136,"Fort Smith","Fort Smith","Canada","YSM","CYSM",60.020278,-111.961944,671,-7,"A","America/Edmonton"
137,"Nanisivik","Nanisivik","Canada","YSR","CYSR",72.982222,-84.613611,2106,-5,"A","America/Toronto"
138,"Summerside","Summerside","Canada","YSU","CYSU",46.440556,-63.833611,56,-4,"A","America/Halifax"
139,"Sachs Harbour","Sachs Harbour","Canada","YSY","CYSY",71.993889,-125.2425,282,-7,"A","America/Edmonton"
140,"Cape Dorset","Cape Dorset","Canada","YTE","CYTE",64.23,-76.526667,164,-5,"A","America/Toronto"
141,"Thompson","Thompson","Canada","YTH","CYTH",55.801111,-97.864166,729,-6,"A","America/Winnipeg"
142,"Trenton","Trenton","Canada","YTR","CYTR",44.118889,-77.528056,283,-5,"A","America/Toronto"
143,"Timmins","Timmins","Canada","YTS","CYTS",48.569721,-81.376667,967,-5,"A","America/Toronto"
144,"City Centre","Toronto","Canada","YTZ","CYTZ",43.627499,-79.396167,251,-5,"A","America/Toronto"
145,"Tuktoyaktuk","Tuktoyaktuk","Canada","YUB","CYUB",69.433334,-133.026389,15,-7,"A","America/Edmonton"
146,"Pierre Elliott Trudeau Intl","Montreal","Canada","YUL","CYUL",45.470556,-73.740833,118,-5,"A","America/Toronto"
147,"Repulse Bay","Repulse Bay","Canada","YUT","CYUT",66.521389,-86.224722,80,-6,"A","America/Winnipeg"
148,"Hall Beach","Hall Beach","Canada","YUX","CYUX",68.776111,-81.243611,27,-5,"A","America/Toronto"
149,"Rouyn Noranda","Rouyn","Canada","YUY","CYUY",48.206111,-78.835556,988,-5,"A","America/Toronto"
150,"La Ronge","La Ronge","Canada","YVC","CYVC",55.15139,-105.261944,1242,-6,"N","America/Regina"
151,"Vermilion","Vermillion","Canada","YVG","CYVG",53.355833,-110.82389,2025,-7,"A","America/Edmonton"
152,"Qikiqtarjuaq","Broughton Island","Canada","YVM","CYVM",67.545833,-64.031389,21,-5,"A","America/Toronto"
153,"Val D Or","Val D'or","Canada","YVO","CYVO",48.053333,-77.782778,1107,-5,"A","America/Toronto"
154,"Kuujjuaq","Quujjuaq","Canada","YVP","CYVP",58.096111,-68.426944,129,-5,"A","America/Toronto"
155,"Norman Wells","Norman Wells","Canada","YVQ","CYVQ",65.281617,-126.798219,238,-7,"A","America/Edmonton"
156,"Vancouver Intl","Vancouver","Canada","YVR","CYVR",49.193889,-123.184444,14,-8,"A","America/Vancouver"
